Name,Address,Rating,Phone Number,Website,Industry
The White Barn,"Waterstones Club International, Approach Road, off International Airport, Navpada, Marol, Andheri East, Mumbai, Maharashtra 400059, India",3.9,022 4090 6644,http://www.waterstonesclub.com/,"cafe, store, restaurant, food, point_of_interest, establishment"
Indian Kebab Grill & Bar,"Chhatrapati Shivaji International Airport (BOM), Terminal 2, International Departure, After Security Check,, Chhatrapati Shivaji Maharaj Int'l Airport Rd, Vile Parle, Mumbai, Maharashtra, India",4.0,N/A,N/A,"bar, restaurant, food, point_of_interest, establishment"
Sandeep Restaurant,"Shop No 111, Plot No 3, Tata Colony, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",5.0,063778 82008,N/A,"restaurant, food, point_of_interest, establishment"
Baba Restaurant,"A-1, Laxmi Society 90 Feet Road, Gate, opp. Lokmanya Tilak Nagar, opposite Tilak Nagar, Gokuldham Society, Satya Nagar, Sathi D Souza Nagar, Gate, Mumbai, Maharashtra 400072, India",4.7,090294 36111,N/A,"restaurant, food, point_of_interest, establishment"
Aamchi Mumbai Burger,"Shop No: 2, Crescent Business Square, Khairani Rd, opposite Andheri East, Saki Naka, Mumbai, Maharashtra 400072, India",4.2,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Nirmal punjab family Restaurant,"6, Wadia Estate Rd, Bail Bajar, Kurla, Mumbai, Maharashtra 400099, India",3.8,080977 50442,N/A,"restaurant, food, point_of_interest, establishment"
Amrit Restaurant,"B28A, Ghatkopar Industrial Estate, Ghatkopar, Amrut Nagar, W, Mumbai, Maharashtra 400086, India",4.4,N/A,N/A,"restaurant, food, point_of_interest, establishment"
TAMASHAA,"Hiranandani Business Park, Unit No 5, First floor 'C' Wing, Delphi, Hiranandani Gardens, Panchkutir Ganesh Nagar, Powai, Mumbai, Maharashtra 400076, India",4.3,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Al Zaika Restaurant Marol,"Gala #7, Sai baba Industrial Estate, Marol Maroshi Rd, Near State Bank, Mumbai, Maharashtra 400059, India",3.8,088281 00578,N/A,"restaurant, food, point_of_interest, establishment"
Restaurants,"Bharat Diamond Bourse, G Block BKC, Bandra Kurla Complex, Bandra East, Mumbai, Maharashtra 400051, India",4.5,N/A,N/A,"restaurant, food, point_of_interest, establishment"
cargo family restaurant,"shop no 1&2, business point, Rangoli Cargo Complex, Sahar Rd, next to international, Sutar Pakadi, Sahar Village, Andheri East, Mumbai, Maharashtra 400099, India",2.8,098198 10402,N/A,"restaurant, food, point_of_interest, establishment"
Paradise cuisine,"PLOT NO.273/3, VEMULKAR BUILDING, MAROL MAROSHI ROAD, OPP LOK CENTRE, NEAR SARASWAT BANK, MAROL, ANDHERI EAST, Greater, Ward-K/ E, Mumbai, Greater Mumbai, Maharashtra 400059, India",3.5,N/A,N/A,"restaurant, food, point_of_interest, establishment"
Sandeep Hotel & Bar,"F-679, Lal Bahadur Shastri Marg, Bail Bajar, Saki Naka, Mumbai, Maharashtra 400072, India",3.6,N/A,N/A,"bar, restaurant, food, point_of_interest, establishment"
Biryani Can - Pure Veg Biryanis,"Vajan Kata, Kothari Compound, J. M Marg, Khairani Baug, Sakinaka, Andheri East, Mumbai, Maharashtra 400072, India",4.4,081049 60615,https://thrivenow.in/biryani-can-sakinaka,"restaurant, food, point_of_interest, establishment"
